,Song,Artist,Year,SongID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,artist_popularity,artist_genres,top_genre,genre_code,top10,top5
159,More,Usher,2011,5UnX1hCXQzmUzw2dn3L9nY,0.00166,0.551,219987,0.893,0.0,7,0.348,-2.628,0.0543,125.083,4,0.794,84,"atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary",pop,36,0,0
160,What The Hell,Avril Lavigne,2011,5zTzDqrEmseqL2G8ElgBu7,0.00448,0.571,220627,0.932,0.00939,6,0.117,-3.68,0.0576,150.014,4,0.864,81,"canadian pop,candy pop,dance pop,pop,post-teen pop",pop,36,0,0
161,Written In The Stars,Tinie Tempah Featuring Eric Turner,2011,61HQWI1Woxup7CnGwVUsdI,0.0587,0.644,219560,0.945,0.0,7,0.184,-3.534,0.0717,91.017,4,0.573,70,"dance pop,edm,grime,house,pop dance,pop rap,post-teen pop,tropical house,uk dance",dance pop,15,0,0
162,Bottoms Up,Trey Songz Featuring Nicki Minaj,2011,2IpGdrWvIZipmaxo1YRxw5,0.0205,0.845,242013,0.601,0.0,1,0.385,-5.283,0.161,74.008,4,0.329,77,"dance pop,pop,post-teen pop,r&b,urban contemporary",pop,36,0,0
163,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2011,4356Typ82hUiFAynbLYbPn,0.0338,0.663,220800,0.861,0.0,7,0.082,-3.398,0.109,119.963,4,0.654,84,"atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary",pop,36,0,0
164,For The First Time,The Script,2011,09ZcYBGFX16X8GMDrvqQwt,0.0328,0.396,252853,0.629,0.0,9,0.183,-4.78,0.0287,173.794,4,0.358,79,"celtic rock,dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop",pop,36,0,0
165,Honey Bee,Blake Shelton,2011,0gY2iq0xJPRoIB1PScKSw4,0.00167,0.481,210720,0.849,1.49e-06,4,0.121,-5.131,0.0385,205.57,4,0.723,77,"contemporary country,country,country road,oklahoma country",contemporary country,12,0,0
166,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2011,2CAf7WlHg8SlMLHmt55pqs,0.105,0.445,256440,0.627,0.0,11,0.0858,-4.825,0.0318,143.821,4,0.14,79,"contemporary country,country,country road",contemporary country,12,0,0
167,We Found Love,Rihanna Featuring Calvin Harris,2011,3t4HeVfURZ5DuqMWz0Cmqg,0.025,0.734,215227,0.766,0.00138,1,0.108,-4.485,0.0383,127.986,4,0.6,92,"barbadian pop,dance pop,pop,post-teen pop,urban contemporary",pop,36,0,0
168,Pretty Girl Rock,Keri Hilson,2011,7JkSoesJ9odqqYuzXkwEGD,0.203,0.666,243920,0.87,0.0,11,0.0851,-5.004,0.246,160.014,4,0.9,70,"dance pop,hip pop,pop,pop r&b,post-teen pop,r&b,urban contemporary",pop,36,0,0
169,You And I,Lady Gaga,2011,6szOfaZn6H3rZXnUqgJ4R7,0.0892,0.521,307360,0.701,0.0,2,0.0876,-5.238,0.0458,127.087,4,0.518,90,"dance pop,pop,post-teen pop",pop,36,0,0
